player1,year,round,winner,player2,winner1,winner2,error1,error2,total1,total2
Brian Baker,2013,First,Brian Baker,Alex Jr. Bogomolov,13,3,4,3,173,162
Daniel Gimeno-Traver,2013,First,Daniel Gimeno-Traver,Lukasz Kubot,15,4,6,4,156,145
Guillaume Rufin,2013,First,Guillaume Rufin,Julian Reister,5,2,4,4,130,108
Juan Carlos Ferrero,2004,quarter,Juan Carlos Ferrero,Hicham Arazi,60,50,52,55,148,154
Juan Carlos Ferrero,2004,Fourth,Juan Carlos Ferrero,Andrei Pavel,53,34,40,34,133,117
Juan Carlos Ferrero,2004,Third,Juan Carlos Ferrero,Joachim Johansson,35,55,17,52,138,117
Juan Carlos Ferrero,2004,Second,Juan Carlos Ferrero,Filippo Volandri,16,30,34,53,115,101
Juan Carlos Ferrero,2004,First,Juan Carlos Ferrero,Albert Montanes,19,8,15,32,83,43
Juan Carlos Ferrero,2005,Second,Juan Carlos Ferrero,Mariano Zabaleta,17,13,19,44,81,50
Juan Carlos Ferrero,2005,First,Juan Carlos Ferrero,Melle van Gemerden,31,35,41,49,116,116
Juan Carlos Ferrero,2006,Second,Juan Carlos Ferrero,Janko Tipsarevic,55,57,27,55,156,136
Juan Carlos Ferrero,2006,First,Juan Carlos Ferrero,Tomas Zib,31,12,24,28,91,59
Juan Carlos Ferrero,2007,First,Juan Carlos Ferrero,Jan Hajek,6,0,2,3,12,3
Juan Carlos Ferrero,2008,Third,Juan Carlos Ferrero,David Nalbandian,32,13,21,38,88,56
Juan Carlos Ferrero,2008,Second,Juan Carlos Ferrero,Alun Jones,31,22,32,41,91,74
Juan Carlos Ferrero,2008,First,Juan Carlos Ferrero,Nicolas Kiefer,37,21,27,34,95,66
Andre Agassi,2004,quarter,Andre Agassi,Sebastien Grosjean,10,14,8,22,45,30
Andre Agassi,2004,Fourth,Andre Agassi,Paradorn Srichaphan,31,39,28,44,112,87
Andre Agassi,2004,Third,Andre Agassi,Thomas Enqvist,23,19,21,46,88,56
Andre Agassi,2004,Second,Andre Agassi,Tomas Berdych,23,27,10,35,87,57
Andre Agassi,2004,First,Andre Agassi,Todd Larkham,33,15,33,25,94,71
Andre Agassi,2005,Fourth,Andre Agassi,Joachim Johansson,35,96,13,66,147,141
Andre Agassi,2005,Third,Andre Agassi,Taylor Dent,42,31,6,39,117,85
Andre Agassi,2005,Second,Andre Agassi,Rainer Schuettler,33,24,18,37,94,60
Andre Agassi,2005,First,Andre Agassi,Dieter Kindlmann,33,21,26,33,108,68
Hicham Arazi,2004,Fourth,Hicham Arazi,Mark Philippoussis,34,34,10,38,99,75
Hicham Arazi,2004,Third,Hicham Arazi,Albert Costa,53,40,40,56,137,121
Hicham Arazi,2004,Second,Hicham Arazi,Cyril Saulnier,17,15,17,41,72,57
Hicham Arazi,2004,First,Hicham Arazi,Olivier Mutis,27,31,29,49,109,92
Sebastien Grosjean,2004,Fourth,Sebastien Grosjean,Robby Ginepri,36,30,28,50,112,90
Sebastien Grosjean,2004,Third,Sebastien Grosjean,Dominik Hrbaty,42,20,42,39,106,93
Sebastien Grosjean,2004,Second,Sebastien Grosjean,Jan-Michael Gambill,38,24,17,27,99,72
Sebastien Grosjean,2004,First,Sebastien Grosjean,Mikhail Youzhny,25,20,28,40,104,77
Sebastien Grosjean,2005,First,Sebastien Grosjean,Michael Llodra,28,26,18,29,105,81
Sebastien Grosjean,2006,Fourth,Sebastien Grosjean,Paul-Henri Mathieu,29,17,23,49,93,68
Sebastien Grosjean,2006,Third,Sebastien Grosjean,Guillermo Coria,46,23,48,48,128,109
Sebastien Grosjean,2006,Second,Sebastien Grosjean,Juan Monaco,17,15,26,37,90,69
Sebastien Grosjean,2006,First,Sebastien Grosjean,Mark Philippoussis,28,26,3,36,90,61
Sebastien Grosjean,2007,Second,Sebastien Grosjean,Olivier Rochus,74,40,53,43,168,151
Sebastien Grosjean,2007,First,Sebastien Grosjean,Christophe Rochus,25,13,7,25,57,32
Sebastien Grosjean,2008,Second,Sebastien Grosjean,Robin Haase,46,50,40,57,145,125
Sebastien Grosjean,2008,First,Sebastien Grosjean,Filippo Volandri,NA,NA,NA,NA,116,92
Andrei Pavel,2004,Third,Andrei Pavel,Jiri Novak,73,56,60,55,180,180
Andrei Pavel,2004,Second,Andrei Pavel,Glenn Weiner,30,43,10,29,97,76
Andrei Pavel,2004,First,Andrei Pavel,Max Mirnyi,67,51,11,25,159,138
Andrei Pavel,2005,First,Andrei Pavel,Olivier Mutis,43,27,22,34,96,68
Andrei Pavel,2006,First,Andrei Pavel,Carlos Moya,44,54,55,66,161,166
Guillermo Canas,2004,Third,Guillermo Canas,Tim Henman,65,100,24,74,211,209
Guillermo Canas,2004,Second,Guillermo Canas,Agustin Calleri,35,72,29,67,153,149
Guillermo Canas,2004,First,Guillermo Canas,Sebastien de Chaunac,13,18,27,56,91,66
Guillermo Canas,2005,Third,Guillermo Canas,Radek Stepanek,15,22,10,48,86,47
Guillermo Canas,2005,Second,Guillermo Canas,Fernando Verdasco,27,44,29,64,127,104
Guillermo Canas,2005,First,Guillermo Canas,Chris Guccione,57,61,12,32,121,97
Guillermo Canas,2009,First,Guillermo Canas,Dieter Kindlmann,NA,NA,NA,NA,167,142
Mark Philippoussis,2004,Third,Mark Philippoussis,Mario Ancic,37,30,29,43,111,84
Mark Philippoussis,2004,Second,Mark Philippoussis,Fabrice Santoro,67,27,41,15,131,112
Mark Philippoussis,2004,First,Mark Philippoussis,Thomas Johansson,51,37,27,26,117,104
Robby Ginepri,2004,Third,Robby Ginepri,Nicolas Escude,32,34,22,30,90,77
Robby Ginepri,2004,Second,Robby Ginepri,Chris Guccione,41,23,9,21,86,61
Robby Ginepri,2004,First,Robby Ginepri,Luis Horna,53,38,24,36,113,94
Robby Ginepri,2006,First,Robby Ginepri,Jurgen Melzer,23,22,18,29,85,55
Robby Ginepri,2007,Second,Robby Ginepri,Mischa Zverev,62,39,27,25,123,107
Robby Ginepri,2007,First,Robby Ginepri,Nicolas Almagro,43,53,47,68,160,146
Paradorn Srichaphan,2004,Third,Paradorn Srichaphan,Gustavo Kuerten,49,20,22,20,96,76
Paradorn Srichaphan,2004,Second,Paradorn Srichaphan,Jerome Golmard,15,5,8,8,34,29
Paradorn Srichaphan,2004,First,Paradorn Srichaphan,Jose Acasuso,35,23,20,36,101,70
Paradorn Srichaphan,2005,First,Paradorn Srichaphan,Potito Starace,45,31,57,41,121,122
Sjeng Schalken,2004,Third,Sjeng Schalken,Jurgen Melzer,22,28,26,64,115,86
Sjeng Schalken,2004,Second,Sjeng Schalken,David Ferrer,19,36,29,78,132,106
Sjeng Schalken,2004,First,Sjeng Schalken,Kenneth Carlsen,19,25,22,48,97,73
Todd Reid,2004,Second,Todd Reid,Sargis Sargsian,45,46,45,53,167,165
Todd Reid,2004,First,Todd Reid,Vadim Kutsenko,28,21,17,38,89,54
Tim Henman,2004,Second,Tim Henman,Radek Stepanek,39,32,25,25,116,82
Tim Henman,2004,First,Tim Henman,Jean-Rene Lisnard,22,24,17,24,89,58
Tim Henman,2005,Second,Tim Henman,Victor Hanescu,45,24,19,19,98,76
Tim Henman,2005,First,Tim Henman,Cyril Saulnier,32,31,37,35,128,104
Albert Costa,2004,Second,Albert Costa,Wayne Arthurs,60,91,25,82,189,176
Albert Costa,2004,First,Albert Costa,Greg Rusedski,33,37,14,29,88,74
Dominik Hrbaty,2004,Second,Dominik Hrbaty,Gaston Gaudio,33,15,24,27,91,53
Dominik Hrbaty,2004,First,Dominik Hrbaty,Flavio Saretta,19,23,34,55,98,71
Dominik Hrbaty,2005,Fourth,Dominik Hrbaty,Thomas Johansson,29,27,29,41,108,78
Dominik Hrbaty,2005,Third,Dominik Hrbaty,Gaston Gaudio,70,48,88,75,200,192
Dominik Hrbaty,2005,Second,Dominik Hrbaty,Janko Tipsarevic,43,30,56,45,144,117
Dominik Hrbaty,2005,First,Dominik Hrbaty,Robin Soderling,18,8,23,27,61,42
Dominik Hrbaty,2006,Third,Dominik Hrbaty,Igor Andreev,32,47,63,72,160,160
Dominik Hrbaty,2006,Second,Dominik Hrbaty,Dick Norman,69,70,43,78,203,180
Dominik Hrbaty,2006,First,Dominik Hrbaty,Oliver Marach,41,37,48,66,153,126
Dominik Hrbaty,2007,Second,Dominik Hrbaty,Vince Spadea,51,30,55,51,147,136
Dominik Hrbaty,2007,First,Dominik Hrbaty,Jiri Vanek,45,37,66,69,162,134
Dominik Hrbaty,2009,First,Dominik Hrbaty,John Isner,NA,NA,NA,NA,132,125
Guillermo Coria,2005,Third,Guillermo Coria,Juan Carlos Ferrero,29,25,23,32,97,70
Guillermo Coria,2005,Second,Guillermo Coria,Ricardo Mello,58,57,40,62,162,158
Guillermo Coria,2005,First,Guillermo Coria,Tomas Berdych,20,19,15,44,85,51
Guillermo Coria,2006,Second,Guillermo Coria,Federico Luzzi,47,45,33,49,132,114
Guillermo Coria,2006,First,Guillermo Coria,Victor Hanescu,54,54,50,51,156,148
Thomas Johansson,2005,Third,Thomas Johansson,Kevin Kim,57,44,53,67,165,128
Thomas Johansson,2005,Second,Thomas Johansson,Agustin Calleri,43,57,44,51,148,143
Thomas Johansson,2005,First,Thomas Johansson,Peter Luczak,61,51,61,61,159,147
Thomas Johansson,2006,Third,Thomas Johansson,Gilles Simon,33,20,27,34,89,65
Thomas Johansson,2006,Second,Thomas Johansson,Xavier Malisse,44,57,57,66,153,148
Thomas Johansson,2006,First,Thomas Johansson,Cyril Saulnier,40,40,23,53,116,90
Thomas Johansson,2007,First,Thomas Johansson,Marco Chiudinelli,41,34,57,60,130,131
Joachim Johansson,2004,Second,Joachim Johansson,Alberto Martin,53,23,35,18,111,92
Joachim Johansson,2004,First,Joachim Johansson,Alexander Popp,48,29,17,16,105,91
Joachim Johansson,2005,Third,Joachim Johansson,Feliciano Lopez,99,76,67,32,200,199
Joachim Johansson,2005,Second,Joachim Johansson,Peter Wessels,58,26,40,16,101,92
Joachim Johansson,2005,First,Joachim Johansson,Sjeng Schalken,43,16,38,23,97,74
Bobby Reynolds,2005,Second,Bobby Reynolds,Andrei Pavel,34,28,25,34,98,77
Bobby Reynolds,2005,First,Bobby Reynolds,Nicolas Almagro,42,58,50,62,162,159
Jean-Rene Lisnard,2005,Second,Jean-Rene Lisnard,Sebastien Grosjean,43,43,52,52,146,146
Jean-Rene Lisnard,2005,First,Jean-Rene Lisnard,Oliver Marach,52,53,59,70,196,190
Karol Beck,2004,First,Karol Beck,Stefan Koubek,27,18,50,44,114,95
Karol Beck,2005,Second,Karol Beck,Tommy Haas,56,44,49,62,155,151
Karol Beck,2005,First,Karol Beck,Todd Reid,38,11,33,38,105,74
Kevin Kim,2005,Second,Kevin Kim,Guillermo Garcia-Lopez,25,20,22,42,95,64
Kevin Kim,2005,First,Kevin Kim,Hyung-Taik Lee,57,43,43,50,147,140
Kevin Kim,2006,First,Kevin Kim,Harel Levy,45,24,27,40,108,79
Gaston Gaudio,2004,First,Gaston Gaudio,Tommy Robredo,21,27,32,52,116,99
Gaston Gaudio,2005,Second,Gaston Gaudio,Mardy Fish,43,38,49,71,137,129
Gaston Gaudio,2005,First,Gaston Gaudio,Justin Gimelstob,37,27,26,39,108,88
Gaston Gaudio,2006,Second,Gaston Gaudio,Lars Burgsmuller,28,27,17,39,93,65
Gaston Gaudio,2006,First,Gaston Gaudio,Razvan Sabau,19,4,11,21,55,32
Santiago Ventura,2005,First,Santiago Ventura,Alex Calatrava,65,31,55,33,154,154
Nathan Healey,2005,First,Nathan Healey,Flavio Saretta,43,24,44,50,113,103
Nathan Healey,2006,Second,Nathan Healey,Amer Delic,35,41,31,47,134,121
Nathan Healey,2006,First,Nathan Healey,Filippo Volandri,15,14,11,29,70,44
Mariano Zabaleta,2005,First,Mariano Zabaleta,Marc Kimmich,62,27,49,23,138,112
Greg Rusedski,2005,First,Greg Rusedski,Jonas Bjorkman,45,48,35,36,129,121
Nicolas Massu,2005,First,Nicolas Massu,Antony Dupuis,49,54,45,62,160,133
Gregory Carraz,2005,First,Gregory Carraz,Paul-Henri Mathieu,75,50,53,44,160,151
Christophe Rochus,2005,First,Christophe Rochus,Albert Montanes,34,20,22,41,97,67
Takao Suzuki,2005,First,Takao Suzuki,Jan-Michael Gambill,34,33,13,14,93,74
Tomas Zib,2005,First,Tomas Zib,Jimmy Wang,20,36,33,65,112,96
Sargis Sargsian,2004,First,Sargis Sargsian,Jonas Bjorkman,33,18,19,33,93,61
Sargis Sargsian,2005,First,Sargis Sargsian,David Sanchez-Munoz,60,38,69,47,148,145
Peter Wessels,2005,First,Peter Wessels,Yen-Hsun Lu,31,23,17,28,90,62
Bohdan Ulihrach,2004,First,Bohdan Ulihrach,Lars Burgsmuller,40,35,40,29,130,109
Bohdan Ulihrach,2005,First,Bohdan Ulihrach,Ivo Karlovic,45,55,10,41,138,113
Michal Tabara,2005,First,Michal Tabara,Thomas Enqvist,37,26,42,49,121,103
Agustin Calleri,2004,First,Agustin Calleri,Christophe Rochus,52,25,53,28,129,100
Agustin Calleri,2005,First,Agustin Calleri,Max Mirnyi,71,53,48,44,154,157
Agustin Calleri,2008,First,Agustin Calleri,Luis Horna,NA,NA,NA,NA,133,115
Bjorn Phau,2005,First,Bjorn Phau,Albert Costa,47,20,30,46,124,100
Bjorn Phau,2006,First,Bjorn Phau,Carlos Berlocq,49,25,69,50,138,132
Nicolas Kiefer,2006,quarter,Nicolas Kiefer,Sebastien Grosjean,34,59,67,55,160,169
Nicolas Kiefer,2006,Fourth,Nicolas Kiefer,Juan Ignacio Chela,41,24,33,22,101,87
Nicolas Kiefer,2006,Third,Nicolas Kiefer,Juan Carlos Ferrero,52,46,34,43,125,104
Nicolas Kiefer,2006,Second,Nicolas Kiefer,Boris Pashanski,31,30,34,52,125,95
Nicolas Kiefer,2006,First,Nicolas Kiefer,Paradorn Srichaphan,43,43,48,73,174,134
Paul-Henri Mathieu,2006,Third,Paul-Henri Mathieu,Luis Horna,49,36,26,45,123,91
Paul-Henri Mathieu,2006,Second,Paul-Henri Mathieu,Alex Jr. Bogomolov,37,28,32,53,116,82
Paul-Henri Mathieu,2006,First,Paul-Henri Mathieu,Arnaud Clement,31,23,37,47,106,89
Paul-Henri Mathieu,2008,Third,Paul-Henri Mathieu,Stefan Koubek,55,76,51,60,179,187
Paul-Henri Mathieu,2008,Second,Paul-Henri Mathieu,Paul Capdeville,47,52,32,36,133,107
Paul-Henri Mathieu,2008,First,Paul-Henri Mathieu,Victor Hanescu,NA,NA,NA,NA,109,81
Paul-Henri Mathieu,2009,First,Paul-Henri Mathieu,Jarkko Nieminen,NA,NA,NA,NA,45,29
Kristof Vliegen,2006,Second,Kristof Vliegen,Fernando Verdasco,34,54,51,69,152,149
Kristof Vliegen,2006,First,Kristof Vliegen,Christophe Rochus,45,13,26,26,91,62
Kristof Vliegen,2008,First,Kristof Vliegen,Olivier Patience,NA,NA,NA,NA,103,65
Peter Luczak,2006,Second,Peter Luczak,Olivier Rochus,60,44,44,46,155,135
Peter Luczak,2006,First,Peter Luczak,Ivo Minar,35,42,23,36,106,102
Peter Luczak,2008,First,Peter Luczak,Mariano Zabaleta,45,40,33,42,128,103
Luis Horna,2006,Second,Luis Horna,Bjorn Phau,23,8,18,35,82,46
Luis Horna,2006,First,Luis Horna,Gael Monfils,27,14,24,42,94,72
Max Mirnyi,2006,Second,Max Mirnyi,Davide Sanguinetti,64,61,36,24,152,140
Max Mirnyi,2006,First,Max Mirnyi,Thierry Ascione,54,50,23,17,150,125
Max Mirnyi,2007,First,Max Mirnyi,Luis Horna,70,70,19,20,163,166
Denis Gremelmayr,2006,Second,Denis Gremelmayr,Robby Ginepri,43,51,58,62,163,168
Denis Gremelmayr,2006,First,Denis Gremelmayr,Jonas Bjorkman,35,27,19,53,113,78
Denis Gremelmayr,2008,First,Denis Gremelmayr,Sergio Roitman,NA,NA,NA,NA,125,116
Boris Pashanski,2006,First,Boris Pashanski,Wayne Arthurs,54,56,20,33,137,119
Raemon Sluiter,2006,First,Raemon Sluiter,Pavel Snobel,29,24,53,55,114,102
Paul Goldstein,2006,First,Paul Goldstein,Novak Djokovic,25,48,21,68,123,107
Dick Norman,2006,First,Dick Norman,Zack Fleishman,61,38,90,52,165,175
Davide Sanguinetti,2006,First,Davide Sanguinetti,Jacob Adaktusson,25,22,39,63,116,88
Federico Luzzi,2006,First,Federico Luzzi,Juan-Antonio Marin,46,23,32,20,91,73
Lars Burgsmuller,2006,First,Lars Burgsmuller,Rainer Schuettler,37,42,43,33,119,113
Daniele Bracciali,2006,First,Daniele Bracciali,Yen-Hsun Lu,39,12,34,40,104,70
Jean-Christophe Faurel,2006,First,Jean-Christophe Faurel,Alexander Waske,50,39,17,32,120,102
Wesley Moodie,2006,First,Wesley Moodie,Oscar Hernandez,56,53,40,33,139,129
Dmitry Tursunov,2006,First,Dmitry Tursunov,Tim Henman,67,39,41,31,153,140
Dmitry Tursunov,2007,Second,Dmitry Tursunov,Max Mirnyi,52,37,11,9,113,90
Dmitry Tursunov,2007,First,Dmitry Tursunov,Alexander Waske,49,36,22,33,125,104
Dmitry Tursunov,2008,First,Dmitry Tursunov,Xavier Malisse,NA,NA,NA,NA,148,130
Dmitry Tursunov,2014,First,Dmitry Tursunov,Michael Russell,8,1,6,8,104,79
Jimmy Wang,2006,First,Jimmy Wang,Mariano Zabaleta,20,22,18,52,97,70
Wayne Arthurs,2004,First,Wayne Arthurs,Roko Karanusic,73,55,55,25,171,160
Wayne Arthurs,2007,Second,Wayne Arthurs,Zack Fleishman,53,47,21,23,126,107
Wayne Arthurs,2007,First,Wayne Arthurs,Stefan Koubek,60,52,55,24,154,148
Danai Udomchoke,2007,Second,Danai Udomchoke,Juan Carlos Ferrero,49,54,55,56,166,142
Danai Udomchoke,2007,First,Danai Udomchoke,Martin Vassallo Arguello,27,30,35,52,104,84
Alex Kuznetsov,2007,First,Alex Kuznetsov,Peter Luczak,86,34,67,35,165,145
Nicolas Lapentti,2004,First,Nicolas Lapentti,Oscar Hernandez,13,18,20,47,99,60
Nicolas Lapentti,2007,First,Nicolas Lapentti,Alan Mackin,19,22,24,60,107,85
Mischa Zverev,2007,First,Mischa Zverev,Michael Berrer,54,59,20,47,145,128
Robert Smeets,2007,First,Robert Smeets,Lukas Lacko,41,23,37,35,115,94
Frank Dancevic,2007,First,Frank Dancevic,Victor Hanescu,53,32,31,31,108,90
Paul Capdeville,2007,First,Paul Capdeville,Julien Benneteau,55,52,47,80,167,135
Paul Capdeville,2008,First,Paul Capdeville,Brydan Klein,33,40,18,45,112,98
Ilija Bozoljac,2007,First,Ilija Bozoljac,Marin Cilic,20,20,15,41,84,53
Vince Spadea,2007,First,Vince Spadea,Igor Andreev,29,26,24,37,104,75
Vince Spadea,2008,Second,Vince Spadea,Denis Gremelmayr,NA,NA,NA,NA,167,180
Vince Spadea,2008,First,Vince Spadea,Radek Stepanek,NA,NA,NA,NA,137,135
Jonas Bjorkman,2007,First,Jonas Bjorkman,Olivier Patience,54,31,40,42,147,113
Zack Fleishman,2007,First,Zack Fleishman,Agustin Calleri,44,59,40,48,139,130
Lukas Dlouhy,2007,First,Lukas Dlouhy,Teimuraz Gabashvili,97,76,81,64,256,234
Alun Jones,2008,First,Alun Jones,Albert Montanes,NA,NA,NA,NA,129,119
Simone Bolelli,2008,First,Simone Bolelli,Rajeev Ram,NA,NA,NA,NA,150,144
Simone Bolelli,2009,First,Simone Bolelli,Kristof Vliegen,NA,NA,NA,NA,110,103
Hyung-Taik Lee,2008,First,Hyung-Taik Lee,Chris Guccione,36,42,13,19,98,86
Oscar Hernandez,2008,First,Oscar Hernandez,Ivo Minar,NA,NA,NA,NA,109,94
Sam Warburg,2008,First,Sam Warburg,Juan-Pablo Brzezicki,NA,NA,NA,NA,143,135
Chris Guccione,2004,First,Chris Guccione,Alun Jones,38,34,33,20,110,90
Chris Guccione,2009,First,Chris Guccione,Nicolas Devilder,46,32,21,19,98,74
Brydan Klein,2009,First,Brydan Klein,Bjorn Phau,39,24,46,34,114,105
Brian Dabul,2009,First,Brian Dabul,Philipp Petzschner,NA,NA,NA,NA,96,60
Jiri Novak,2004,Second,Jiri Novak,Jan Vacek,26,38,28,56,111,89
Jiri Novak,2004,First,Jiri Novak,Olivier Rochus,35,26,19,32,103,73
Wayne Ferreira,2004,Second,Wayne Ferreira,David Sanchez-Munoz,61,21,60,25,125,117
Wayne Ferreira,2004,First,Wayne Ferreira,Victor Hanescu,51,27,35,37,136,121
Olivier Patience,2004,Second,Olivier Patience,Nikolay Davydenko,40,29,57,57,151,133
Olivier Patience,2004,First,Olivier Patience,Igor Andreev,30,58,41,74,143,140
Gustavo Kuerten,2004,Second,Gustavo Kuerten,Ivan Ljubicic,29,65,31,76,142,127
Gustavo Kuerten,2004,First,Gustavo Kuerten,John van Lottum,43,48,52,64,148,126
Todd Martin,2004,Second,Todd Martin,Ivo Karlovic,51,71,17,28,131,123
Todd Martin,2004,First,Todd Martin,Antony Dupuis,66,67,50,56,164,159
Nicolas Escude,2004,Second,Nicolas Escude,Robin Soderling,43,36,21,27,107,89
Nicolas Escude,2004,First,Nicolas Escude,Hyung-Taik Lee,41,21,27,36,111,83
Thomas Enqvist,2004,Second,Thomas Enqvist,Karol Beck,45,45,65,57,144,134
Thomas Enqvist,2004,First,Thomas Enqvist,Vince Spadea,60,28,69,39,142,139
Alex Corretja,2004,First,Alex Corretja,Martin Verkerk,21,47,20,51,108,99
Filippo Volandri,2004,First,Filippo Volandri,Nicolas Kiefer,42,30,37,48,135,128
Thierry Ascione,2004,First,Thierry Ascione,Felix Mantilla,40,21,41,39,118,92
Jan Vacek,2004,First,Jan Vacek,Ruben Ramirez-Hidalgo,40,19,48,47,121,102
Jeff Morrison,2004,First,Jeff Morrison,Dennis Van Scheppingen,36,15,26,27,93,66
Glenn Weiner,2004,First,Glenn Weiner,Jeff Salzenstein,76,59,30,28,152,145
Alberto Martin,2004,First,Alberto Martin,Feliciano Lopez,43,78,34,83,169,153
David Sanchez-Munoz,2004,First,David Sanchez-Munoz,Wesley Moodie,53,66,30,59,175,171
Cyril Saulnier,2004,First,Cyril Saulnier,Guillermo Coria,51,20,50,36,117,96
Karol Kucera,2004,First,Karol Kucera,Xavier Malisse,17,22,29,43,95,75
Jerome Golmard,2004,First,Jerome Golmard,Albert Portas,32,29,26,40,103,80
Galo Blanco,2004,First,Galo Blanco,Younes El Aynaoui,7,6,5,16,24,15
Jan-Michael Gambill,2004,First,Jan-Michael Gambill,Gregory Carraz,36,12,9,13,63,44
Teimuraz Gabashvili,2014,Second,Teimuraz Gabashvili,Fernando Verdasco,24,56,51,71,146,156
Teimuraz Gabashvili,2014,First,Teimuraz Gabashvili,Sergiy Stakhovsky,5,14,4,8,133,112
Martin Klizan,2014,Second,Martin Klizan,Blaz Rola,16,12,5,8,139,123
Martin Klizan,2014,First,Martin Klizan,John Isner,27,23,10,23,71,52
Vasek Pospisil,2014,Second,Vasek Pospisil,Matthew Ebden,46,30,47,43,132,121
Vasek Pospisil,2014,First,Vasek Pospisil,Samuel Groth,31,35,17,25,94,74
Damir Dzumhur,2014,Second,Damir Dzumhur,Ivan Dodig,33,37,27,43,95,91
Damir Dzumhur,2014,First,Damir Dzumhur,Jan Hajek,4,2,3,6,95,55
Jack Sock,2014,First,Jack Sock,Tobias Kamke,16,6,12,8,146,138
Vincent Millot,2014,First,Vincent Millot,Wayne Odesnik,54,39,68,73,173,158
Thanasi Kokkinakis,2014,First,Thanasi Kokkinakis,Igor Sijsling,54,53,45,47,135,135
Dusan Lajovic,2014,First,Dusan Lajovic,Lucas Pouille,28,41,57,88,141,126
Blaz Rola,2014,First,Blaz Rola,Federico Delbonis,6,4,8,1,108,86
Nick Kyrgios,2014,First,Nick Kyrgios,Benjamin Becker,71,38,52,36,133,114
Michal Przysiezny,2014,First,Michal Przysiezny,Horacio Zeballos,15,11,0,4,104,85
Leonardo Mayer,2014,First,Leonardo Mayer,Albert Montanes,13,1,1,4,80,42
Kenny de Schepper,2014,First,Kenny de Schepper,Di Wu,58,33,66,36,134,125
Dominic Thiem,2014,First,Dominic Thiem,Joao Sousa,20,8,3,0,148,133
